cnt,seg,word
5,"['不好意思', '评', '价', '晚', '了', ' ', '鞋子', '质量', '非常', '好', ' ', '跟', '高', '但是', '穿', '着', '不', '累', ' ', '非常', '舒服', ' ', '很', '喜欢', ' ', '五', '分', '好评', ' ', '祝', '生意', '兴隆', '财源', '广进']","['舒服', '喜欢', '好', '高', '好评', '']"
2,"['酒质', '很', '一般', '。', '。', '。', '。', '。', '也', '就', '这', '价', '格', '，', '期望', '过高']","['一般', '过高', '']"
5,"['非常', '，', '不满意', '，', '如', '有', '打算', '要', '买', '的', '，', '请', '千万', '不', '要', '买', '，', '是', '假', '的', '，', '一点', '都', '不', '上', '色', '，', '跟染', '一样', '，', '我', '特意', '等', '差不多', '快', '一个', '钟', '才', '冲洗', '的', '。', '总之', '，', '是', '一', '次', '非常', '失败', '的', '。']","['失败', '不满意', '假', '差不多', '快', '']"
6,"['收到', '管子', '变形', '的', '，', '安装', '底座', '就', '破', '了', '。', '太差', '了', '。', '东西', '质量', '很差', '，', '商', '家', '一定', '要', '给', '好评', '才', '有', '终身', '售', '后', '。', '太', '欺负', '人', '了', '。', '很差', '。']","['好评', '太差', '很差', '破', '很差', '变形', '']"
1,"['买', '回', '来', '就', '坏', '了']","['坏', '']"
2,"['薄', '没用', '充电', '时', '太少', '了']","['太少', '薄', '']"
3,"['跟', '我', '实体', '店', '买', '的', '爹地', '宝贝', '完全', '质量', '不', '一样', '，', '感觉', '质量', '好', '差', '感觉', '特别', '假', '！', '摸', '着', '手感', '完全', '不', '同', '！']","['差', '好', '假', '']"
1,"['给', '朋友', '买', '的', '，', '她', '说', '还', '不错', '，', '毕竟', '是', '上交', '手机', '，', '。', '。', '，', '[', '追', '评', ']']","['不错', '']"
3,"['第一', '电视', '根本', '没', '那', '么', '多', '应用', '，', '骗人', '的', '，', ' ', '第二', '网络', '电视', '非常', '不稳定', '，', ' ', '第三', '优酷', '会员', '压根', '登入', '不', '了', '，', '然后', '就', '是', '要', '会员', '的', '电影', '看', '不', '了', '。', ' ', '我', '这', '是', '收货', '第一', '天', '才', '用', '不', '到', '6', '个', '小时', '，', '客服', '就', '已经', '翻脸不认人', '了', '，', '没', '买', '之前', '服务', '的', '很好', ' ', '买', '了', '之后', '就', '不', '关', '他', '的', '事', '了', '，', ' ', '要', '购买', '的', '亲们', '谨慎', '！', '！', '！', '！', ' ', '<', '/', 'br', '>', '第一', '张', '图', '是', '购买', '前', '<', '/', 'br', '>', '第二', '张', '图', '是', '购买', '后', ' ', '我', '第一', '次', '在', '京', '东', '买', '东西', '，', '就', '让', '我', '碰上', '了', '这样', '的', '服务', '，', ' ', '难怪', '京东', '没有', '淘', '..', '，', '宝', '的', '名气', '大', '，', '原', '来', '是', '这样', '的', '垃圾', '服务', '。']","['垃圾', '很好', '不稳', '谨慎', '']"
1,"['感觉', '还可以']","['还可以', '']"
2,"['差', '的', '原因', '是', '没', '看到', '赠品', '，', '卖', '家', '如果', '没有', '就', '不', '要', '写', '上', '做', '虚假', '宣传']","['差', '虚假', '']"
4,"['试用', '过', '了', '，', '很', '满意', '，', '外观', '设计', '很', '漂亮', '，', '人', '操作', '起', '来', '很', '方便', '的', '，', '价', '格', '也', '实惠', '，', '挺', '满意', '的', '！']","['方便', '实惠', '满意', '漂亮', '']"
1,"['(', '⊙o⊙', ')', '哇', '，', '上手', '感觉', '非常', '棒', '！']","['棒', '']"
1,"['味道', '比较', '难闻', '，', '而且', '油性', '皮肤', '，', '敏感', '皮肤', '最好', '别', '用', '，', '没', '什', '么', '效果']","['难闻', '别最好', '']"
4,"['发货', '真', '的', '好', '快', ' ', '味道', '是', '很', '熟悉', '的', '那种', ' ', '但是', '不', '算', '高档', '不', '算', '亲和', '的', '味道', ' ', '滋润', '不错', ' ', '持', '香', '也', '不错']","['快', '滋润', '不算高档', '不错', '不算亲和', '香', '']"
1,"['满意', '，', '一直', '在', '用', '此', '产品', '，', '无', '刺激']","['满意', '']"
0,"['东西', '不好', '不好', '不好']","['不不好', '']"
2,"['不错', '，', '是', '我', '想', '要', '的', '，', '快递', '小哥', '服务', '一级', '的', '棒', '，']","['不错', '棒', '']"
2,"['不错', ' ', '挺好', '的']","['不错', '挺好', '']"
0,"['刷', '毛', '太', '稀疏', '了']","['太稀', '']"
3,"['刚', '开始', '一个', '星期', '还可以', ' ', '之后', '就', '有划痕', ' ', '水', '挂', '不干净']","['不干净', '还可以', '有划痕', '']"
5,"['是', '我', '见', '过', '声音', '最', '大', '的', '，', '音质', '最好', '的', '手机', '。', '其他', '的', '手机', '我', '觉得', '声音', '真', '的', '太', '小', '声', '了', '。', ' ', '比', '我', '原', '来', '的', '1200万', '像素', '的', '手机', '拍', '出', '来', '的', '效果', '感觉', '要', '清晰', '很多', '。', ' ', '非常', '流畅', '不卡顿']","['流畅', '清晰', '很多', '不卡顿', '最好', '']"
3,"['等', '了', '漫长', '的', '一个', '多', '个', '星期', ' ', '等', '到', '了', '的', '时候', '发现', '只用', '一', '块', '瓦楞板', '裹', '着', '连', '块', '泡泡纸', '都', '没有', ' ', '粉', '已经', '碎', '的', '不', '能', '再', '碎', ' ', '到处', '都', '是', ' ', '感觉', '不', '会', '再', '爱', '了', ' ', '沾', '了', '点', '碎粉', ' ', '粉', '很好', '用', ' ', '但是', '碎', '成', '这个', '样子', ' ', '也', '是', '不', '知道', '说', '什', '么', '好', '了']","['不能碎', '很好', '碎', '好', '']"
2,"['底脚', '不稳', ' ', '一', '看', '都', '不是新', '的']","['不是新', '不稳', '']"
1,"['质量', '不', '是', '所', '描述', '得', '那', '么', '好']","['好', '']"
1,"['给', '朋友', '买', '的', '，', '感觉', '不错', '.', '支持', '国产']","['不错', '']"
1,"['是', '正品', ' ', '反应', '速度', '快', ' ', '物', '流慢', '了', '点']","['正品', '慢', '']"
2,"['给', '男朋友', '买', '的', '，', '用', '着', '还可以', '，', '没有', '锡纸封口', '，', '不满意', '，', '包装', '没有', '以前', '的', '那种', '塑料', '泡泡', '的', '填充', '，', '不满意', '，', '成分', '和', '另外', '一个', '洗面奶', '相比', '较', '只', '有', '一个', '好像', '叫', '牛油果', '的', '不', '一样', '，', '早', '知道', '就', '不', '用', '挑', '来', '挑', '去', '的', '，', '感觉', '就', '味道', '不', '一样', '似', '的']","['不满意', '还可以', '']"
0,"['死机', 'n次', '也', '是', '醉', '了']","['次', '']"
0,"['包装', '不', '是', '很', '讲究', '，', '自己', '喝', '完全', '没', '问题']","['不是讲究', '']"
1,"['太', '小', '了', '，', '比', '超市', '的', '贵', '！', '！', '！']","['贵', '']"
1,"['质量', '差']","['差', '']"
2,"['上面', '写', '着', '耳温额', '温', '二', '合一', '的', '。', '都', '是', '假', '的', '。', '欺骗', '消费者']","['假', '欺骗', '']"
3,"['东西', '好', '，', '但是', '发货', '速度', '慢', '，', '客服', '态度', '不好', '！']","['好', '不好', '慢', '']"
1,"['花架', '少', '一个', '螺丝', '。', '物流', '快', '。']","['快', '']"
1,"['我', '买', '的', '是', '卫衣', '三', '件', '套', '，', '发', '过', '来', '是', '裙子', '，', '怎', '么', '会', '这样', '，', '很', '不满意', '，', '不', '应该', '这样', '。']","['不满意', '']"
1,"['不怎么好用', '，', '价', '格', '便宜']","['不怎么好用', '']"
3,"['正品', '，', '质量', '好', '，', '发货', '速度', '快', '。']","['正品', '好', '快', '']"
7,"['给', '超级差', '差差', '评', '！', '无良', '商', '家', '！', '垃圾', '！', '京', '东', '也', '有', '如此', '坑人', '的', '商', '家', '，', '无语', '！', '底', '坐', '里面', '就是', '用', '沙子', '倒', '成', '的', '，', '用', '了', '三', '天', '就', '变成', '这个', '样子', '&', 'hellip', ';', '&', 'hellip', ';', '请', '大', '家', '看', '图', '吧', '！', '希望', '可以', '帮', '到', '大', '家', '看', '清', '这', '家', '无良', '商', '家', '的', '劣质', '产品', '！', '！', '！']","['无良', '坑人', '劣质', '无语', '无良', '可以', '差评', '垃圾', '']"
4,"['送货', '很', '及时', ',', '就', '是', '煮', '的', '时候', ',', '好象', '时间', '长', '了', '些', ',', '总', '的', '来', '说', '还是', '挺', '不错', '的', '东东', ',', '还是', '赞', '一个', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!', '!']","['不错', '赞', '及时', '长', '']"
1,"['第一', '个', '是', '在', '东莞', '国药', '买', '的', '，', '老爸', '说', '用', '着', '牙齿', '没', '那', '么', '碰', '都', '不', '能', '碰', '，', '第二', '个', '在', '京', '东', '买', '的', '，', '还可以', '。']","['还可以', '']"
4,"['东西', '与', '图片', '差距', '很大', '，', '发货', '速度', '慢', '，', '还', '缺', '东西', '导致', '购买', '的', '香水', '无法', '使用', '，', '出现', '问题', '不', '积极', '解决', '问题', '，', '还', '让', '用户', '为', '他们', '的', '工作', '失误', '买', '单', '，', '总之', '商', '家', '的', '态度', '很差', '，', '让', '人', '很', '窝火', '，', '强烈', '建议', '大', '家', '不', '要', '买', '他', '家', '商品', '，']","['不积极', '很差', '窝火', '慢', '很大', '']"
2,"['边缘', '太', '宽', '，', '贴', '了', '之后', '两边', '都', '露出', '一', '截', '，', '手', '摸', '着', '不舒服', '！', '容易', '积累', '灰尘', '！', '！', '！']","['容易', '不舒服', '']"
3,"['自从', '有', 'BB', '后', '，', '这个', '沐', '浴露', '的', '味道', '对', '我', '来', '说', '就', '像', '世界', '上', '最', '恶心', '的', '味道', '，', '闻', '到', '一点', '就', '想吐', '，', '现在', '不', '孕吐', '了', '闻', '着', '也', '很', '不舒服']","['恶心', '想吐', '不舒服', '']"
1,"['完全', '是', '骗人', '的', '，', '才', '用', '一', '天', '就', '掉', '了', '，', '京', '东', '自', '营发', '的', '。', '假货']","['假货', '']"
2,"['老牌子', '，', '制冷', '快', '，', '三', '口', '之', '家', '很', '实用', '。']","['实用', '快', '']"
6,"['加', '价', '购', '的', '钢化膜', '贴', '上去', '四周', '有', '明显', '的', '白边', '，', '贴', '的', '时候', '问', '客服', '问题', '客服', '居然', '把', '说明', '步骤', '复制', '过', '来', '了', '。', '我', '是', '瞎子', '看不到', '盒子', '里', '印', '的', '步骤', '？', '还好', '后', '来', '也', '算', '回答', '了', '我', '的', '问题', '。', '贴', '完', '后', '用', '起', '来', '一般', '，', '指纹', '收集器', '也', '就', '算', '了', '，', '产品', '介绍', '说', '这', '款', '不', '会', '有', '白', '边', '，', '结果', '明显', '的', '一', '比', '，', '问', '客服', '怎', '么', '回', '事', '客服', '回答', '你', '没', '贴', '好', '。', '嗯', '这个', '理由', '真好', '用', '，', '也', '不', '枉', '我', '仔仔细细', '的', '清灰', '贴', '了', '那', '么', '久', '了', '。']","['明显', '好用', '久', '还好', '一般', '明显', '看不到', '']"
1,"['质量', '也', '不错', '，', '下次', '再', '来', '光顾', '。', '。', '。', '。']","['不错', '']"
3,"['质量', '一般', '，', '洗涤', '动力', '一般', '，', '脱水', '动力', '强劲']","['一般', '强劲', '一般', '']"
2,"['[', '追', '评', ']', '便宜', '无好', '货', ' ', '同时', '买', '了', '两', '台', '空调', ' ', '一', '台', '1', '.', '5', '匹', '电流声', '特别', '大', ' ', '可', '这', '台', '1', '匹', '毛病', '特别', '多', ' ', '风轮', '是', '断', '的', '而且', '里面', '还有', '很大', '的', '水流声', '（', '水流声', '持续', '不', '断', '）', '风力', '调', '到', '最', '小', '档', '也', '比', '那', '1', '.', '5', '匹', '的', '风', '大', ' ', '要求', '换', '新机', '还', '不', '给', '换', ' ', '售', '后', '说', '只能', '修', ' ', '可', '到', '现在', '十几', '天', '了', '也', '没', '给', '我', '修']","['便宜', '无好', '']"
1,"['看起', '来', '还可以', '。', '。', '。', '。', '。', '。', '。', '。', '。', '。']","['还可以', '']"
7,"['1', '.', ' ', '上面', '的', '金壳子', '松动', ' ', '2', '.', ' ', '黑色', '侧边', '有', '裂痕', ' ', '3', '.', ' ', '齿子', '梳', '狠', '点', '得', '话', '刮', '头发', ' ', '别人', '推荐', '说', '这', '梳子', '用', '了', '两', '年', '怎', '么', '摔', '都', '摔', '不坏', '，', ' ', '我', '就', '纳闷', '了', '，', '对于', '这个', '买', '来', '就', '有', '裂痕', '，', '松动', '的', '东西', '摔', '一下', '不', '得', '摔', '烂', '了', '，', '总之', '这次', '购买', '体验', '不好', '，', '亚马逊', '在', '搞什', '么']","['不好', '松动', '裂痕', '纳闷', '推荐', '松动', '烂', '']"
1,"['老人机', '嘛', '就', '那样', '一个', '键盘', '锁', '都', '没有', '，', '这些', '商', '家', '，', '都', '不是好东西', '。']","['不是好东西', '']"
0,"['味道', '太', '大', '了', ',', '不', '能', '接受', '!', '毛', '脱', '得', '不', '是', '很', '干净', '.']","['不是很干', '']"
2,"['价', '格要', '再', '低', '一', '点', '那', '就', '可以', '说', '是', '相当', '有性', '价', '比', '了']","['低', '可以', '']"
1,"['与', '图片', '不符', '，', '东西', '也', '没', '那', '么', '多']","['不符', '']"
3,"['已经', '安装', '好', '了', '，', '画质', '可以', '，', '家', '里', '宾馆', '用', '，', '很', '满意', '的', '[', '追', '评', ']']","['好', '可以', '满意', '']"
1,"['挺好', '的', '，', '挺好', '的', '，', '挺好', '的', '，']","['挺好', '']"
2,"['质量', '不错', '，', '就是', '颜色', '有', '一点', '误差', '，', '其他', '都', '挺好']","['不错', '挺好', '']"
4,"['很', '满意', '！', '大小', '合适', '老婆', '大人', '满意', '！', '激活', '半天', '搞', '不好', '还', '请', '个', '百', '度', '老师', '忙活', '个把', '小时', '各种', '密码', '设定', '记', '哪', '一', '小', '张', '纸', '！', '各种', '功能', '使用', '还', '不', '习惯', '！', '慢慢', '摸索', '中', '！', '京东', '服务', '就', '是', '好', '！', '放心', '！', '！']","['好', '合适', '放心', '满意', '']"
1,"['假', '的', '&hellip', ';', '假', '的', '&hellip', ';', '假', '的', '&hellip', ';']","['假', '']"
1,"['充', '不满', '不满', '不满', '不满', '不满', '不满', '不满', '不满', '不满']","['不满', '']"
3,"['不错', '，', '挺好', '，', '安装', '很', '及时', '，', '中午', '到', '下午', '就', '来', '安装', '了']","['及时', '不错', '挺好', '']"
2,"['做', '活动', '的', '时候', '买', '的', ' ', '很', '划算', '～用', '起', '来', '就', '那样', '吧', '，', '很香', '。']","['划算', '很香', '']"
3,"['这', '么', '和', '3ML', '的', '试用', '装', '不', '一样', '？', '3ML', '的', '试用', '装', '明显', '浓', '一点', '！', '！', '！', '！', '！', '！', '！', '！', '！', '好', '怕', '是', '假货', '！', '！', '！', '！', '！', '！']","['假货', '明显', '好', '']"
1,"['送', '的', '东西', '，', '膜', '已经', '碎', '掉', '了', '。']","['碎', '']"
1,"['味道', '跟', '专卖店', '不', '一样', '，', '很', '明显']","['明显', '']"
2,"['快递', '很快', '，', '不错']","['不错', '很快', '']"
1,"['挺好', '的', '，', '过段', '时间', '再', '来', '追', '评', '[', '追', '评', ']']","['挺好', '']"
2,"['很差', '。', '太差', '了', '。', '。', '。', '。']","['太差', '很差', '']"
3,"['好', '，', '不错', '，', '非常', '好', '，', '厚实']","['不错', '好', '厚实', '']"
3,"['收到', '的', '时候', '后膜', '就', '是', '裂', '的', '，', '说', '的', '好好', '的', '，', '给', '补', '发', '一', '张', '后膜', '，', '十', '多', '天', '都', '看不见', '影子', '，', '还是', '帮', '朋友', '订', '的', '，', '联系', '客服', '还', '没', '人', '理', '，', '太', '耽误', '事', '了', '，', '不满意', '的', '一', '次', '购物']","['看不见', '裂', '不满意', '好', '']"
1,"['一直', '在', '用', '亚玛逊', '的', '产品', '，', '这', '次', '包装', '也', '太差', '了', '，', '买', '了', '一', '堆', '，', '没有', '一', '瓶', '是', '完整', '的']","['太差', '没有完整', '']"
2,"['一', '天', '一个', '价', '，', '2', '/', '6', '/', '99', '买', '的', '，', '一个', '月', '降', '到', '2', '/', '4', '/', '3', '/', '8', '，', '而且', '现在', '还', '不', '给', '退', '差', '价', '了', '，', '机器', '是', '刚', '需', '，', '优点', '就', '是', '便宜', '，', '其他', '真', '的', '没', '啥', '优点', '了', '，', '室内机', '确实', '是', '省', '到', '家', '了', '，', '就', '是', '一个', '薄塑料', '壳子', '，', '安装', '的', '也', '一般', '，', '抽', '真空', '让', '多', '抽', '一会', '也', '不', '愿意']","['薄', '便宜', '一般', '']"
4,"['发货', '很快', '，', '包装', '很好', '，', '最', '主要', '的', '是', '客服', '服务', '很好', '，', '以诚为本', '，', '谢谢', '卖', '家', '。', '音质', '不错']","['很快', '不错', '很好', '很好', '']"
3,"['质感', '很', '轻薄', '，', '有', '淡淡的', '酒精味', '，', '没有', '任何', '保湿感', '，', '过敏', '了', '。', '以前', '用', '的', '实体店', '商品', '，', '这个', '系列', '应该', '很', '补', '水', '，', '而且', '不过敏', '的', '。']","['薄', '不过敏', '很轻', '过敏', '淡淡的', '']"
2,"['还行', '吧', '，', '就', '是', '那个', '披', '肩', '有', '点', '不合适']","['还行', '不合适', '']"
1,"['还行', '吧', '，', '三', '免', '一', '买', '的', '还', '是', '值']","['还行', '']"
2,"['有', '几', '个', '功能', '用不上', '，', '没有', '说', '的', '那', '么', '好', '，', '声音', '小', ' ', '音乐', '不', '好听', '，', '一', '分', '钱', '一', '分', '货', '，', '没', '什', '么', '好说', '的']","['不好', '好', '用不上', '']"
2,"['机器', '还行', '，', '洗', '衣服', '的', '声音', '有点', '大', '，', '脱水', '还可以', '。']","['还可以', '还行', '']"
1,"['送', '的', '东西', '太', '差劲', '了', '，', '才', '用', '了', '一', '次', '，', '结果', '就', '生锈', '了', '，', '哪', '还', '敢用', '啊']","['太差', '敢用', '']"
1,['不干净'],"['不干净', '']"
2,"['买', '了', '两', '个', '月', '总共', '用', '了', '4', '次', '就', '坏', '了', '，', '售', '后', '电话', '难', '打通', '，', '没有', '比', '这', '次', '更', '糟糕', '的', '购物', '啦', '，', '感觉', '不', '会', '再', '爱', '了', '，', '提醒', '各位', '购物', '慎重']","['坏', '没有更糟', '慎重', '']"
1,"['试用', '中', '，', '良心', '产品']","['良心', '']"
1,"['不', '实', '费', '&', 'hellip', ';', '&', 'hellip', ';', '&', 'hellip', ';', '&', 'hellip', ';', '\\&', 'hellip', ';', '&', 'hellip', ';']","['费', '']"
4,"['挺好', '的', '，', '快', '递', '很快', '，', '卖', '家', '服务', '态度', '非常', '好', '，', '物超所值', '[', '追', '评', ']']","['物超所值', '挺好', '好', '很快', '']"
1,"['公司', '买', '的', '，', '一直', '用', '这个', '，', '还', '不错', '！']","['不错', '']"
1,"['灯', '是', '亮', '着', '、', '可惜', '打开', '就', '是', '噪音', '！', '！', '！', '！', '买', '来', '好几', '天', '刚', '打开', '的', '方式', '包裹', '、', '耍', '我', '呢', '啊', '！', '！', '！', '！']","['可惜', '']"
2,"['挺好', '的', '，', '买', '过', '很多', '台', '美菱', '了']","['很多', '挺好', '']"
2,"['外观', ' ', '还好', '吧', ' ', '价', '钱', '便宜', ' ', '还是', '变频', '的', ' ', '值', '了']","['还好', '便宜', '']"
1,"['洗', '完', ' ', '头皮', '干', '干', '的', ' ', '但', '不是干爽', ' ', '头皮凉凉', '的']","['凉凉的', '不是干爽', '']"
3,"['还行', '，', '和', '手机', '套餐', '一起', '购买', '的', '，', '就', '这些', '配件', '还可以', '，', '都', '比', '手机', '强']","['还行', '强', '还可以', '']"
3,"['给', '妈妈', '买', '的', '！', '手机', '不错', '的', '！', '就是', '物流', '特别', '慢', '！', '[', '追', '评', ']', '没有用', '一', '段', '时间', '！', '是', '物流', '到', '的', '太', '晚', '！', '是', '有点', '慢', '了']","['不错', '慢', '慢', '']"
3,"['产品', '还行', '，', '客服', '不行', '，', '爱理不理', '的', '！', '没', '发货', '说', '发货', '，', '叫', '他', '自己', '查', '下', '单号', '，', '就', '没', '音', '了']","['爱理不理', '不行', '还行', '']"
4,"['一', '次', '买', '了', '三', '个', '，', '质量', '差距', '比较', '大', '，', '有', '的', '充电', '快有', '的', '充电', '慢', '，', '有', '的', '信号', '好', '，', '有', '的', '信号', '不好', '。', '照片', '拍', '出', '来', '不怎么样', '。', '<', 'b', 'r', '/', '>']","['快', '慢', '好', '不好', '不怎么样', '']"
9,"['给', '妈妈', '买', '的', '，', '冰箱', '已经', '使用', '一', '周', '了', '，', '很好', '，', '声音', '很小', '，', '面板', '可以', '显示', '温度', '，', '每个', '室', '可以', '单独', '调节', '温度', '，', '还可以', '单独', '关闭', '冷藏室', '和', '解冻室', '，', '空间', '够大', '，', '价', '格', '便宜', '，', '总之', '很', '满意', ' ', '就是', '物流', '人员', '没', '给', '拆箱', '，', '费', '了', '好大', '劲']","['可以', '满意', '好大', '很好', '费', '还可以', '可以', '很小', '够大', '']"
1,"['不', '能', '调', '方向', '。', '。', '。', '。', '浪费', '了']","['浪费', '']"
1,"['一点', '都', '不好', '！', '！', '！']","['不好', '']"
1,['一般'],"['一般', '']"
